age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference
56,221111.0,6.5,12.0,0.7,1.0,6.0,16.0,16.0,28551.0,144092.0,2.0,3.0,2.0,6.0,7.0,7.0,1.0,3.0,6.0,5.0,2.0,Other,Tier 3,Store
69,96029.0,8.2,13.0,2.7,6.0,9.0,14.0,1.0,124056.0,28421.0,4.0,7.0,4.0,1.0,3.0,4.0,9.0,6.0,8.0,1.0,7.0,Male,Tier 3,Hybrid
46,19055.0,6.4,4.0,2.1,10.0,8.0,2.0,0.0,81939.0,128229.0,9.0,4.0,5.0,3.0,4.0,10.0,1.0,1.0,3.0,3.0,3.0,Female,Tier 3,Store
32,53170.0,6.4,11.0,0.7,2.0,10.0,20.0,3.0,35901.0,134650.0,7.0,0.0,3.0,3.0,10.0,2.0,4.0,8.0,2.0,6.0,6.0,Female,Tier 1,Store
60,244016.0,6.0,5.0,0.7,2.0,5.0,18.0,16.0,131971.0,34122.0,5.0,9.0,2.0,4.0,2.0,5.0,8.0,9.0,7.0,1.0,6.0,Male,Tier 3,Store
25,114976.0,7.6,6.0,4.0,1.0,7.0,31.0,6.0,92423.0,123383.0,2.0,8.0,3.0,5.0,10.0,6.0,6.0,3.0,4.0,4.0,8.0,Other,Tier 2,Store
78,43251.0,4.9,6.0,3.2,1.0,8.0,10.0,4.0,26398.0,18035.0,9.0,5.0,5.0,5.0,2.0,8.0,9.0,4.0,9.0,9.0,8.0,Other,Tier 2,Hybrid
38,150604.0,3.1,10.0,3.7,4.0,9.0,17.0,7.0,131561.0,33308.0,2.0,1.0,2.0,10.0,10.0,8.0,8.0,9.0,6.0,1.0,4.0,Other,Tier 2,Store
56,150996.0,7.3,2.0,1.1,5.0,3.0,28.0,0.0,123438.0,97145.0,7.0,6.0,4.0,5.0,2.0,9.0,8.0,2.0,6.0,6.0,4.0,Female,Tier 3,Store
75,63037.0,6.8,4.0,2.9,4.0,8.0,2.0,9.0,74311.0,79808.0,10.0,0.0,2.0,2.0,9.0,6.0,9.0,1.0,5.0,1.0,7.0,Female,Tier 3,Store
36,224154.0,8.6,12.0,5.4,6.0,3.0,49.0,3.0,56198.0,140722.0,9.0,0.0,7.0,10.0,10.0,9.0,9.0,10.0,8.0,10.0,5.0,Male,Tier 3,Store
40,107115.0,1.1,9.0,2.2,8.0,1.0,3.0,13.0,40543.0,46725.0,4.0,8.0,6.0,9.0,6.0,3.0,8.0,2.0,7.0,2.0,5.0,Female,Tier 3,Store
28,217693.0,5.8,7.0,2.6,2.0,4.0,27.0,8.0,83429.0,122126.0,9.0,2.0,7.0,9.0,3.0,7.0,10.0,1.0,7.0,6.0,5.0,Other,Tier 2,Store
28,92926.0,6.2,9.0,2.5,1.0,7.0,8.0,16.0,81177.0,19617.0,8.0,7.0,6.0,4.0,10.0,6.0,9.0,3.0,1.0,5.0,8.0,Male,Tier 2,Store
41,224888.0,3.0,6.0,2.4,2.0,9.0,37.0,13.0,49294.0,103713.0,7.0,4.0,3.0,3.0,1.0,2.0,10.0,7.0,5.0,5.0,1.0,Male,Tier 2,Store
70,235726.0,5.8,11.0,1.5,10.0,10.0,6.0,18.0,73565.0,139218.0,8.0,1.0,6.0,6.0,1.0,1.0,9.0,10.0,8.0,4.0,10.0,Male,Tier 1,Store
53,85400.0,8.4,7.0,2.6,6.0,7.0,0.0,1.0,30148.0,58440.0,4.0,1.0,7.0,1.0,1.0,7.0,5.0,10.0,5.0,3.0,1.0,Other,Tier 2,Store
57,114525.0,10.2,9.0,4.6,4.0,10.0,34.0,13.0,98395.0,98336.0,7.0,4.0,1.0,4.0,2.0,7.0,10.0,5.0,8.0,7.0,6.0,Female,Tier 1,Store
41,116164.0,8.0,14.0,2.4,7.0,5.0,46.0,8.0,23909.0,42179.0,3.0,1.0,5.0,2.0,10.0,9.0,1.0,3.0,5.0,6.0,8.0,Female,Tier 2,Store
20,238457.0,5.4,12.0,4.1,2.0,1.0,33.0,4.0,68110.0,67109.0,5.0,2.0,6.0,9.0,6.0,7.0,1.0,10.0,4.0,9.0,9.0,Other,Tier 3,Store
39,239174.0,8.5,4.0,6.0,1.0,1.0,8.0,14.0,10025.0,127299.0,2.0,9.0,1.0,7.0,10.0,2.0,7.0,2.0,8.0,3.0,1.0,Male,Tier 3,Store
70,156774.0,7.8,9.0,1.4,5.0,9.0,25.0,5.0,38287.0,3848.0,8.0,8.0,5.0,9.0,9.0,4.0,7.0,10.0,6.0,9.0,2.0,Other,Tier 3,Online
19,121732.0,5.0,3.0,3.2,9.0,4.0,7.0,15.0,46394.0,22500.0,2.0,5.0,7.0,7.0,1.0,5.0,10.0,4.0,1.0,6.0,2.0,Female,Tier 2,Store
41,30385.0,4.8,14.0,1.0,6.0,3.0,18.0,10.0,119035.0,18547.0,7.0,8.0,1.0,2.0,10.0,8.0,2.0,4.0,6.0,4.0,3.0,Other,Tier 2,Store
61,24336.0,5.7,12.0,2.3,6.0,5.0,25.0,8.0,44546.0,41489.0,8.0,6.0,2.0,2.0,10.0,6.0,4.0,2.0,2.0,3.0,8.0,Female,Tier 1,Store
47,80421.0,3.9,14.0,5.7,1.0,7.0,45.0,11.0,10716.0,25969.0,6.0,0.0,2.0,8.0,4.0,6.0,4.0,10.0,8.0,2.0,3.0,Male,Tier 2,Store
55,177297.0,5.4,11.0,3.3,1.0,7.0,9.0,7.0,132880.0,135540.0,4.0,1.0,4.0,9.0,5.0,6.0,1.0,10.0,3.0,4.0,8.0,Other,Tier 1,Store
19,51021.0,7.0,12.0,2.9,4.0,5.0,42.0,16.0,66778.0,89620.0,4.0,8.0,2.0,6.0,10.0,6.0,7.0,3.0,1.0,8.0,6.0,Male,Tier 3,Store
77,149854.0,8.1,14.0,1.0,2.0,8.0,29.0,11.0,31420.0,31294.0,6.0,2.0,6.0,3.0,6.0,4.0,1.0,8.0,9.0,6.0,4.0,Female,Tier 2,Store
38,234949.0,5.2,8.0,1.7,3.0,5.0,39.0,0.0,65173.0,45371.0,8.0,7.0,2.0,9.0,10.0,9.0,5.0,2.0,7.0,9.0,6.0,Other,Tier 3,Store
50,132369.0,8.8,3.0,1.4,6.0,10.0,35.0,7.0,10737.0,31314.0,9.0,6.0,6.0,7.0,1.0,9.0,4.0,4.0,6.0,8.0,9.0,Male,Tier 1,Online
29,235702.0,7.3,3.0,1.2,10.0,4.0,30.0,0.0,13603.0,52812.0,6.0,5.0,1.0,1.0,3.0,6.0,7.0,4.0,10.0,2.0,3.0,Female,Tier 1,Store
75,64111.0,7.4,3.0,3.6,1.0,6.0,7.0,12.0,48524.0,1669.0,3.0,9.0,5.0,9.0,10.0,9.0,1.0,8.0,9.0,2.0,2.0,Female,Tier 1,Online
39,104402.0,4.2,9.0,3.4,10.0,3.0,41.0,4.0,112987.0,126335.0,10.0,7.0,7.0,2.0,2.0,2.0,10.0,5.0,7.0,10.0,5.0,Female,Tier 2,Store
78,134774.0,9.6,10.0,2.3,2.0,4.0,46.0,19.0,82204.0,119167.0,4.0,7.0,2.0,5.0,4.0,9.0,10.0,10.0,3.0,8.0,6.0,Male,Tier 2,Store
61,230657.0,7.1,14.0,1.8,4.0,8.0,12.0,4.0,35393.0,74710.0,5.0,9.0,2.0,7.0,5.0,10.0,5.0,10.0,5.0,7.0,7.0,Other,Tier 2,Store
42,57719.0,5.3,3.0,3.4,6.0,10.0,36.0,7.0,30975.0,72627.0,3.0,7.0,3.0,10.0,8.0,8.0,2.0,1.0,3.0,6.0,7.0,Female,Tier 1,Store
66,242600.0,5.0,6.0,4.7,3.0,10.0,29.0,10.0,108742.0,123073.0,5.0,0.0,1.0,3.0,9.0,9.0,6.0,2.0,6.0,10.0,3.0,Female,Tier 3,Store
44,195109.0,5.4,11.0,3.8,9.0,3.0,14.0,19.0,129743.0,128262.0,8.0,6.0,2.0,9.0,7.0,3.0,7.0,10.0,3.0,10.0,4.0,Female,Tier 2,Store
